SYMBOL,COMPANY NAME,MARKET CAP,MARKET CAP CATEGORY,EXCHANGE,KITE_ID,SHOONYA_TOKEN
PRESTIGE,Prestige Estates Projects Limited,70979.71507,Mid Cap,NSE,5197313,20302
WAAREEENER,Waaree Energies Limited,70144.4522,Mid Cap,NSE,6632193,25907
OBEROIRLTY,Oberoi Realty Limited,70093.37344,Mid Cap,NSE,5181953,20242
KALYANKJIL,Kalyan Jewellers India Limited,69530.68134,Mid Cap,NSE,756481,2955
ALKEM,Alkem Laboratories Limited,69295.09253,Mid Cap,NSE,2995969,11703
PIIND,PI Industries Limited,68197.93469,Mid Cap,NSE,6191105,24184
IRCTC,Indian Railway Catering And Tourism Corporation Limited,67151.9998,Mid Cap,NSE,3484417,13611
SRF,SRF Limited,67049.84883,Mid Cap,NSE,837889,3273
BHARATFORG,Bharat Forge Limited,66153.5916,Mid Cap,NSE,108033,422
NMDC,NMDC Limited,65721.85354,Mid Cap,NSE,3924993,15332
JSWINFRA,JSW Infrastructure Limited,65510.14605,Mid Cap,NSE,4869121,19020
LINDEINDIA,Linde India Limited,65473.26239,Mid Cap,NSE,416513,1627
GICRE,General Insurance Corporation of India,65290.30554,Mid Cap,NSE,70913,277
SBICARD,SBI Cards and Payment Services Limited,65230.68744,Mid Cap,NSE,4600577,17971
YESBANK,Yes Bank Limited,65016.45681,Mid Cap,NSE,3050241,11915
PATANJALI,Patanjali Foods Limited,63973.52346,Mid Cap,NSE,4359425,17029
BERGEPAINT,Berger Paints (I) Limited,63757.602,Mid Cap,NSE,103425,404
ASHOKLEY,Ashok Leyland Limited,61485.90797,Mid Cap,NSE,54273,212
ABBOTINDIA,Abbott India Limited,60422.33078,Mid Cap,NSE,4583169,17903
BSE,BSE Limited,58799.75117,Mid Cap,NSE,5013761,19585
POWERINDIA,Hitachi Energy India Limited,58171.89007,Mid Cap,NSE,4724993,18457
MPHASIS,MphasiS Limited,56922.51177,Mid Cap,NSE,1152769,4503
IREDA,Indian Renewable Energy Development Agency Limited,56507.81307,Mid Cap,NSE,5186817,20261
VOLTAS,Voltas Limited,56180.96538,Mid Cap,NSE,951809,3718
ABCAPITAL,Aditya Birla Capital Limited,56130.80412,Mid Cap,NSE,5533185,21614
THERMAX,Thermax Limited,56068.07962,Mid Cap,NSE,889601,3475
PHOENIXLTD,The Phoenix Mills Limited,55998.80151,Mid Cap,NSE,3725313,14552
JSL,Jindal Stainless Limited,55915.35452,Mid Cap,NSE,2876417,11236
FACT,Fertilizers and Chemicals Travancore Limited,55858.48893,Mid Cap,NSE,258049,1008
SUPREMEIND,Supreme Industries Limited,55752.15022,Mid Cap,NSE,860929,3363
BALKRISIND,Balkrishna Industries Limited,55683.99278,Mid Cap,NSE,85761,335
UNOMINDA,UNO Minda Limited,55521.56836,Mid Cap,NSE,3623425,14154
MOTILALOFS,Motilal Oswal Financial Services Limited,55317.0174,Mid Cap,NSE,3826433,14947
UCOBANK,UCO Bank,54997.60148,Mid Cap,NSE,2873089,11223
LTTS,L&T Technology Services Limited,54574.7927,Mid Cap,NSE,4752385,18564
SCHAEFFLER,Schaeffler India Limited,54235.92243,Mid Cap,NSE,258825,1011
SCHAEFFLER,Schaeffler India Limited,54235.92243,Mid Cap,NSE,258817,1011
IDEA,Vodafone Idea Limited,53529.44435,Mid Cap,NSE,3677697,14366
SUNDARMFIN,Sundaram Finance Limited,53379.30793,Mid Cap,NSE,854785,3339
PGHH,Procter & Gamble Hygiene and Health Care Limited,52741.33463,Mid Cap,NSE,648961,2535
NYKAA,FSN E-Commerce Ventures Limited,52092.8297,Mid Cap,NSE,1675521,6545
MRF,MRF Limited,51766.42437,Mid Cap,NSE,582913,2277
COFORGE,Coforge Limited,51671.69208,Mid Cap,NSE,2955009,11543
UBL,United Breweries Limited,51019.56956,Mid Cap,NSE,4278529,16713
TATACOMM,Tata Communications Limited,50935.20507,Mid Cap,NSE,952577,3721
CONCOR,Container Corporation of India Limited,50903.46926,Mid Cap,NSE,1215745,4749
IDFCFIRSTB,IDFC First Bank Limited,50328.62351,Mid Cap,NSE,2863105,11184
LLOYDSME,Lloyds Metals And Energy Limited,50070.78523,Mid Cap,NSE,4432129,17313
FEDERALBNK,The Federal Bank  Limited,49848.87706,Mid Cap,NSE,261897,1023
FEDERALBNK,The Federal Bank  Limited,49848.87706,Mid Cap,NSE,261889,1023
PETRONET,Petronet LNG Limited,49642.50092,Mid Cap,NSE,2905857,11351
BANKINDIA,Bank of India,48877.80065,Mid Cap,NSE,1214721,4745
COROMANDEL,Coromandel International Limited,48479.63668,Mid Cap,NSE,189185,739
PAGEIND,Page Industries Limited,48247.75393,Mid Cap,NSE,3689729,14413
CENTRALBK,Central Bank of India,48057.68315,Mid Cap,NSE,3812865,14894
SAIL,Steel Authority of India Limited,47943.01481,Mid Cap,NSE,758529,2963
PAYTM,One 97 Communications Limited,47888.68547,Mid Cap,NSE,1716481,6705
GLENMARK,Glenmark Pharmaceuticals Limited,47125.3975,Mid Cap,NSE,1895937,7406
ASTRAL,Astral Limited,46926.45315,Mid Cap,NSE,3691009,14418
FLUOROCHEM,Gujarat Fluorochemicals Limited,46692.27336,Mid Cap,NSE,3520001,13750
FORTIS,Fortis Healthcare Limited,46462.37635,Mid Cap,NSE,3735553,14592
AUBANK,AU Small Finance Bank Limited,45324.85816,Mid Cap,NSE,5436929,21238
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,45305.00403,Mid Cap,NSE,295177,1153
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,45305.00403,Mid Cap,NSE,295169,1153
PREMIERENE,Premier Energies Limited,44757.12635,Mid Cap,NSE,6412545,25049
SJVN,SJVN Limited,44591.44151,Mid Cap,NSE,4834049,18883
TATAELXSI,Tata Elxsi Limited,44226.44859,Mid Cap,NSE,873217,3411
