segment,name,exchange,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,qty_multiplier,isin,security_type,mtf_enabled,mtf_bracket,short_name
NSE_EQ,GUJ STATE FERT & CHEM LTD,NSE,EQ,NSE_EQ|INE026A01025,1.0,100000.0,1247,1.0,GSFC,1.0,INE026A01025,NORMAL,True,35.0,Gujarat State Fertilizers & Chemicals
NSE_EQ,VIMTA LABS LIMITED,NSE,EQ,NSE_EQ|INE579C01029,1.0,100000.0,13101,5.0,VIMTALABS,1.0,INE579C01029,NORMAL,True,42.2,Vimta Labs
NSE_EQ,KOTAK MAHINDRA BANK LTD,NSE,EQ,NSE_EQ|INE237A01036,1.0,100000.0,1922,5.0,KOTAKBANK,1.0,INE237A01036,NORMAL,True,26.5,
NSE_EQ,TCPL PACKAGING LIMITED,NSE,EQ,NSE_EQ|INE822C01015,1.0,100000.0,184,10.0,TCPLPACK,1.0,INE822C01015,NORMAL,True,35.0,TCPL Packaging
NSE_EQ,NIP IND ETF SHARIAH BEES,NSE,EQ,NSE_EQ|INF732E01128,1.0,100000.0,17044,1.0,SHARIABEES,1.0,INF732E01128,NORMAL,True,26.5,NIP ETF Shariah Bees
NSE_EQ,AXISAMC - AXISBPSETF,NSE,EQ,NSE_EQ|INF846K01Z04,1.0,100000.0,3530,1.0,AXISBPSETF,1.0,INF846K01Z04,NORMAL,True,26.5,Axis AMC - AxisBPSETF
NSE_EQ,AXISAMC - AXISHCETF,NSE,EQ,NSE_EQ|INF846K01Z12,1.0,100000.0,3608,1.0,AXISHCETF,1.0,INF846K01Z12,NORMAL,True,26.5,Axis AMC - AxisHCETF
NSE_EQ,AXISAMC - AXISTECETF,NSE,EQ,NSE_EQ|INF846K01Y96,1.0,100000.0,3010,1.0,AXISTECETF,1.0,INF846K01Y96,NORMAL,True,26.5,Axis AMC - AxisTECETF
NSE_EQ,EID PARRY INDIA LTD,NSE,EQ,NSE_EQ|INE126A01031,1.0,100000.0,916,5.0,EIDPARRY,1.0,INE126A01031,NORMAL,True,30.21,Eid Parry India
NSE_EQ,AXISAMC - AXISBNKETF,NSE,EQ,NSE_EQ|INF846K01X63,1.0,100000.0,1044,1.0,AXISBNKETF,1.0,INF846K01X63,NORMAL,True,26.5,Axis AMC - AxisBNKETF
NSE_EQ,STRIDES PHARMA SCI LTD,NSE,EQ,NSE_EQ|INE939A01011,1.0,100000.0,7374,5.0,STAR,1.0,INE939A01011,NORMAL,True,36.07,Strides Pharma Science
NSE_EQ,CEAT LIMITED,NSE,EQ,NSE_EQ|INE482A01020,1.0,100000.0,15254,10.0,CEATLTD,1.0,INE482A01020,NORMAL,True,31.92,CEAT
NSE_EQ,SAFARI IND (INDIA) LTD,NSE,EQ,NSE_EQ|INE429E01023,1.0,100000.0,13035,10.0,SAFARI,1.0,INE429E01023,NORMAL,True,35.0,Safari Industries
NSE_EQ,GODREJ AGROVET LIMITED,NSE,EQ,NSE_EQ|INE850D01014,1.0,100000.0,144,5.0,GODREJAGRO,1.0,INE850D01014,NORMAL,True,30.25,Godrej Agrovet
NSE_EQ,DIVI S LABORATORIES LTD,NSE,EQ,NSE_EQ|INE361B01024,1.0,100000.0,10940,50.0,DIVISLAB,1.0,INE361B01024,NORMAL,True,27.54,Divis Laboratories
NSE_EQ,TATA TELESERV(MAHARASTRA),NSE,EQ,NSE_EQ|INE517B01013,1.0,100000.0,8954,1.0,TTML,1.0,INE517B01013,NORMAL,True,36.1,Tata Teleservices (Maharashtra)
NSE_EQ,FOSECO INDIA LTD,NSE,EQ,NSE_EQ|INE519A01011,1.0,100000.0,1073,10.0,FOSECOIND,1.0,INE519A01011,NORMAL,True,35.0,Foseco India
NSE_EQ,NIP IND ETF NIFTY 100,NSE,EQ,NSE_EQ|INF204K014N5,1.0,100000.0,29577,1.0,NIF100BEES,1.0,INF204K014N5,NORMAL,True,25.0,NIP ETF Nifty 100
NSE_EQ,NIPPONAMC - LIQGRWBEES,NSE,EQ,NSE_EQ|INF204KC1FU1,1.0,100000.0,757725,1.0,LIQGRWBEES,1.0,INF204KC1FU1,NORMAL,True,25.0,
NSE_EQ,SARDA ENERGY & MIN LTD,NSE,EQ,NSE_EQ|INE385C01021,1.0,100000.0,17758,5.0,SARDAEN,1.0,INE385C01021,NORMAL,True,35.18,Sarda Energy & Minerals
NSE_EQ,NIPPONAMC - MANUFGBEES,NSE,EQ,NSE_EQ|INF204KC1GH6,1.0,100000.0,758667,1.0,MANUFGBEES,1.0,INF204KC1GH6,NORMAL,True,26.5,
NSE_EQ,PRESTIGE ESTATE LTD,NSE,EQ,NSE_EQ|INE811K01011,1.0,100000.0,20302,10.0,PRESTIGE,1.0,INE811K01011,NORMAL,True,32.07,Prestige Estate
NSE_EQ,NIPPONAMC - SNXT30BEES,NSE,EQ,NSE_EQ|INF204KC1EZ3,1.0,100000.0,757455,1.0,SNXT30BEES,1.0,INF204KC1EZ3,NORMAL,True,25.0,
NSE_EQ,VISHAL MEGA MART LIMITED,NSE,EQ,NSE_EQ|INE01EA01019,1.0,100000.0,27969,1.0,VMM,1.0,INE01EA01019,NORMAL,True,28.08,
NSE_EQ,SPECTRUM ELECTRIC IND LTD,NSE,EQ,NSE_EQ|INE01EO01010,1.0,100000.0,30455,10.0,SPECTRUM,1.0,INE01EO01010,NORMAL,True,35.0,
NSE_EQ,CELLO WORLD LIMITED,NSE,EQ,NSE_EQ|INE0LMW01024,1.0,100000.0,19795,5.0,CELLO,1.0,INE0LMW01024,NORMAL,True,35.0,
NSE_EQ,PENNAR INDUSTRIES LTD,NSE,EQ,NSE_EQ|INE932A01024,1.0,100000.0,20621,1.0,PENIND,1.0,INE932A01024,NORMAL,True,39.75,Pennar Industries
NSE_EQ,ENGINEERS INDIA LTD,NSE,EQ,NSE_EQ|INE510A01028,1.0,100000.0,4907,1.0,ENGINERSIN,1.0,INE510A01028,NORMAL,True,33.76,Engineers India
NSE_EQ,VA TECH WABAG LTD,NSE,EQ,NSE_EQ|INE956G01038,1.0,100000.0,20188,10.0,WABAG,1.0,INE956G01038,NORMAL,True,35.0,VA Tech Wabag
NSE_EQ,PRABHA ENERGY LIMITED,NSE,EQ,NSE_EQ|INE0I0M01023,1.0,100000.0,30134,1.0,PRABHA,1.0,INE0I0M01023,NORMAL,True,35.0,
NSE_EQ,RAMKY INFRA LTD,NSE,EQ,NSE_EQ|INE874I01013,1.0,100000.0,20134,5.0,RAMKY,1.0,INE874I01013,NORMAL,True,35.0,Ramky Infra
NSE_EQ,HINDUSTAN UNILEVER LTD.,NSE,EQ,NSE_EQ|INE030A01027,1.0,100000.0,1394,10.0,HINDUNILVR,1.0,INE030A01027,NORMAL,True,26.5,Hindustan Unilever
NSE_EQ,YATHARTH HOSP & TRA C S L,NSE,EQ,NSE_EQ|INE0JO301016,1.0,100000.0,17738,5.0,YATHARTH,1.0,INE0JO301016,NORMAL,True,35.0,Yatharth Hospital & Trauma Care
NSE_EQ,KOTAKMAMC - KOTAKLIQ,NSE,EQ,NSE_EQ|INF174KA1LV5,1.0,100000.0,13950,1.0,LIQUID1,1.0,INF174KA1LV5,NORMAL,True,25.0,Kotak Mahindra AMC - Kotak Liquid
NSE_EQ,JASH ENGINEERING LIMITED,NSE,EQ,NSE_EQ|INE039O01029,1.0,100000.0,13982,5.0,JASH,1.0,INE039O01029,NORMAL,True,35.0,
